# FIELD        ID                                 RA        Dec       X        Y        ISOarea s2nDet PhotoFlag FWHM FWHM_n MUMAX A    B    THETA  FlRadDet KrRadDet nDet_auto nDet_petro nDet_aper uJAVA_auto euJAVA_auto s2n_uJAVA_auto uJAVA_petro euJAVA_petro s2n_uJAVA_petro uJAVA_aper euJAVA_aper s2n_uJAVA_aper F378_auto eF378_auto s2n_F378_auto F378_petro eF378_petro s2n_F378_petro F378_aper eF378_aper s2n_F378_aper F395_auto eF395_auto s2n_F395_auto F395_petro eF395_petro s2n_F395_petro F395_aper eF395_aper s2n_F395_aper F410_auto eF410_auto s2n_F410_auto F410_petro eF410_petro s2n_F410_petro F410_aper eF410_aper s2n_F410_aper F430_auto eF430_auto s2n_F430_auto F430_petro eF430_petro s2n_F430_petro F430_aper eF430_aper s2n_F430_aper g_auto eg_auto s2n_g_auto g_petro eg_petro s2n_g_petro g_aper eg_aper s2n_g_aper F515_auto eF515_auto s2n_F515_auto F515_petro eF515_petro s2n_F515_petro F515_aper eF515_aper s2n_F515_aper r_auto er_auto s2n_r_auto r_petro er_petro s2n_r_petro r_aper er_aper s2n_r_aper F660_auto eF660_auto s2n_F660_auto F660_petro eF660_petro s2n_F660_petro F660_aper eF660_aper s2n_F660_aper i_auto ei_auto s2n_i_auto i_petro ei_petro s2n_i_petro i_aper ei_aper s2n_i_aper F861_auto eF861_auto s2n_F861_auto F861_petro eF861_petro s2n_F861_petro F861_aper eF861_aper s2n_F861_aper z_auto ez_auto s2n_z_auto z_petro ez_petro s2n_z_petro z_aper ez_aper s2n_z_aper recno  Sp WD                     DR2Name                      Source              RA_ICRS         e_RA_ICRS          DE_ICRS         e_DE_ICRS          Plx     e_Plx  pmRA    e_pmRA pmDE    e_pmDE epsi  amax       FG               e_FG              Gmag_2    FBP              e_FBP            BPmag     FRP              e_FRP            RPmag     E(BR/RP) GLON           GLAT          Density   AG                 SDSS umag e_umag gmag_2a e_gmag rmag e_rmag imag e_imag zmag e_zmag Pwd     f_Pwd TeffH        e_TeffH      loggH    e_loggH  MassH    e_MassH  chi2H     TeffHe e_TeffHe loggHe e_loggHe MassHe e_MassHe chisqHe _RA_icrs        _DE_icrs        Separation          
  HYDRA-0026   SPLUS.HYDRA-0026.0000010640.griz   158.57957 -25.60412 7752.28  3507.702 137     441.02 3         2.02 1.0    11.95 2.46 2.0  -68.18 1.058    1.0      12        12         12        15.38      0.02        259.9          14.84       0.02         314.5           15.1       0.02        293.5          15.41     0.02       190.9         15.0       0.02        210.1          15.21     0.02       207.0         15.49     0.02       133.7         15.12      0.02        138.4          15.32     0.02       142.2         15.58     0.02       133.8         15.03      0.02        143.8          15.29     0.02       149.2         15.58     0.02       144.1         15.2       0.02        139.3          15.4      0.02       151.6         15.75  0.02    294.1      15.39   0.02     272.9       15.58  0.02    306.1      15.81     0.02       149.2         15.44      0.02        135.4          15.64     0.02       154.8         16.18  0.02    263.6      15.83   0.02     221.4       16.01  0.02    270.3      16.31     0.02       207.3         15.94      0.02        169.7          16.16     0.02       208.6         16.49  0.02    211.3      16.11   0.02     158.6       16.36  0.02    204.9      16.67     0.02       107.3         16.14      0.02        81.3           16.49     0.02       103.4         16.75  0.02    137.6      16.16   0.02     103.7       16.58  0.02    130.1      202635 " " WDJ103419.15-253615.18 "Gaia DR2 5470771119346276864" 5470771119346276864 158.57958631956 0.0419932139216435 -25.60414641128 0.0464603105503109 4.9898  0.062  -47.231 0.105  16.286  0.087  0.239 0.10139445 9775.1932243785  8.58349652726523  15.713053 8908.68248578528 59.7337632790486 15.476854 3190.26698651924 11.806694380073  16.002352 1.238    267.8945049661 27.783055444  9255.662  0.123966054754308  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.99038 0     39917.742751 2911.908132  7.834902 0.070928 0.592421 0.031854 3.208113  ""     ""       ""     ""       ""     ""       ""      158.57981181866 -25.60421653332 0.10884544125150802 
  HYDRA-0030   SPLUS.HYDRA-0030.0000064648.griz   149.90503 -26.07368 6058.88  9532.537 440     888.34 2         2.13 1.05   11.72 3.06 2.86 13.38  1.249    1.0      12        12         12        14.71      0.02        549.3          14.32       0.02         625.8           14.71      0.02        548.2          14.82     0.02       382.0         14.44      0.02        430.0          14.83     0.02       381.2         14.91     0.02       270.2         14.56      0.02        294.3          14.92     0.02       269.8         14.94     0.02       295.8         14.6       0.02        319.5          14.95     0.02       295.1         15.02     0.02       297.5         14.67      0.02        322.2          15.03     0.02       297.1         15.23  0.02    601.3      14.93   0.02     650.3       15.23  0.02    600.3      15.29     0.02       309.4         15.0       0.02        320.4          15.29     0.02       308.7         15.66  0.02    553.7      15.4    0.02     542.3       15.66  0.02    552.8      15.84     0.02       427.7         15.57      0.02        410.0          15.84     0.02       427.1         16.08  0.02    451.2      15.86   0.02     359.8       16.08  0.02    450.0      16.34     0.02       222.3         16.11      0.02        146.8          16.34     0.02       221.6         16.41  0.02    287.5      16.2    0.02     169.9       16.41  0.02    286.1      199787 " " WDJ095937.26-260425.94 "Gaia DR2 5658966793732319232" 5658966793732319232 149.9050321414  0.041170216146814  -26.07368173843 0.05827913260821   4.584   0.0736 -43.129 0.143  44.356  0.121  0.363 0.14235565 13552.6933047209 11.3263602883385  15.358302 12336.5531363326 92.572630319941  15.123404 4357.81492852042 12.8259468870812 15.663748 1.232    261.3958975953 22.6232774084 11597.884 0.151996206413343  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.98036 0     49631.078677 4607.071906  7.688772 0.071922 0.557592 0.026254 0.04885   ""     ""       ""     ""       ""     ""       ""      149.90523887726 -26.07387271674 0.009333565710143925
  HYDRA-0031   SPLUS.HYDRA-0031.0000023589.griz   151.07573 -26.73456 8442.264 5201.036 15      24.48  0         2.82 1.4    17.33 1.6  1.32 45.06  0.962    1.0      12        12         12        20.24      0.06        17.4           19.18       0.06         18.4            19.48      0.06        19.5           20.06     0.07       15.5          19.38      0.09        12.1           19.5      0.07       14.9          20.3      0.12       8.7           19.54      0.16        6.7            19.71     0.13       8.1           20.01     0.08       12.8          19.3       0.11        9.9            19.48     0.09       11.8          20.33     0.1        10.9          19.55      0.12        8.8            19.81     0.11       9.8           20.53  0.04    26.6       19.77   0.05     23.2        19.96  0.04    26.6       20.62     0.13       8.6           19.72      0.15        7.4            19.93     0.12       8.7           21.12  0.07    15.9       20.5    0.1      10.8        20.54  0.07    14.8       21.1      0.08       12.9          20.2       0.1         11.1           20.45     0.09       12.5          21.17  0.1     10.8       20.6    0.16     6.6         20.79  0.14    8.0        21.35     0.3        3.6           20.28      0.33        3.3            20.65     0.31       3.5           21.18  0.21    5.3        20.53   0.33     3.3         20.55  0.23    4.7        351928 " " WDJ100418.16-264404.31 "Gaia DR2 5466523083157012736" 5466523083157012736 151.07565762759 0.44720322257337   -26.73451176461 0.808972559923934  1.2952  1.0101 -4.666  1.295  4.427   1.137  0.0   1.199407   161.42397658472  1.16343186067155  20.168446 140.636916697269 6.47991229685939 19.98114  51.0762505196888 4.32018347732396 20.491373 1.188    262.7252726229 22.8029355855 10368.894 0.17009460467686   ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.97564 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      151.07568011991 -26.73453082469 0.290340459314321   
  HYDRA-0032   SPLUS.HYDRA-0032.0000005224.griz   153.09533 -27.27956 5864.508 1639.347 80      213.23 0         2.48 1.23   14.58 2.15 2.06 56.75  1.196    1.11     12        12         12        17.44      0.02        148.5          16.9        0.02         155.7           17.23      0.02        159.1          17.52     0.02       92.4          16.99      0.02        94.2           17.32     0.02       97.9          17.61     0.02       65.3          17.11      0.02        62.4           17.42     0.02       68.1          17.69     0.02       73.0          17.1       0.02        73.1           17.45     0.02       78.1          17.74     0.02       83.9          17.25      0.02        79.6           17.54     0.02       88.1          17.95  0.02    157.9      17.47   0.02     158.6       17.75  0.02    167.3      17.93     0.02       81.2          17.47      0.02        73.4           17.75     0.02       84.1          18.28  0.02    133.9      17.95   0.02     102.7       18.14  0.02    132.5      18.43     0.02       123.2         18.1       0.02        92.4           18.31     0.02       120.6         18.67  0.02    103.2      18.34   0.02     64.0        18.53  0.02    96.5       18.86     0.02       46.1          18.64      0.05        23.6           18.76     0.03       40.6          19.01  0.02    48.0       18.64   0.04     26.4        18.86  0.03    42.8       200861 " " WDJ101222.89-271646.42 "Gaia DR2 5466011672811073664" 5466011672811073664 153.09529555993 0.0988252028202566 -27.27953357915 0.11279916075688   1.3559  0.1436 -16.283 0.27   6.344   0.239  0.248 0.25479862 1344.4413300638  2.70634979785904  17.867012 1207.88621825133 21.6992730408167 17.646322 438.846234505373 7.2602497537987  18.15614  1.225    264.616451143  23.5181851714 11380.287 0.182797062566816  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.95485 0     62166.56644  35209.645916 7.716663 0.433145 0.599894 0.169016 0.511273  ""     ""       ""     ""       ""     ""       ""      153.09537443879 -27.2795608946  0.14556708555075473 
  HYDRA-0034   SPLUS.HYDRA-0034.0000006279.griz   156.40485 -27.26715 4982.292 1720.443 43      121.77 0         2.11 1.04   15.05 1.91 1.83 -81.55 1.126    1.32     12        12         12        17.88      0.02        115.3          17.52       0.02         109.8           17.77      0.02        117.7          18.02     0.02       76.5          17.66      0.02        71.9           17.91     0.02       77.9          18.12     0.02       50.1          17.78      0.02        44.0           18.01     0.02       50.5          18.1      0.02       57.8          17.8       0.02        49.5           18.0      0.02       57.8          18.23     0.02       56.7          17.96      0.02        47.0           18.15     0.02       56.0          18.53  0.02    114.4      18.28   0.02     98.5        18.46  0.02    113.8      18.54     0.02       55.4          18.34      0.03        41.9           18.47     0.02       53.7          19.02  0.02    85.6       18.86   0.02     57.9        18.95  0.02    81.6       19.3      0.02       59.7          19.15      0.03        38.3           19.23     0.02       56.3          19.5   0.02    46.7       19.37   0.04     25.7        19.44  0.03    42.0       19.89     0.08       14.4          19.72      0.14        7.6            19.8      0.08       13.0          19.84  0.06    19.1       19.58   0.1      10.9        19.83  0.07    16.0       354247 " " WDJ102537.15-271601.64 "Gaia DR2 5468727707049752192" 5468727707049752192 156.40479902508 0.249363391151607  -27.26714341865 0.353706827787403  0.9551  0.4528 0.454   0.761  -5.16   0.762  0.778 0.8409498  669.698081198587 2.30127633260665  18.623669 655.726775590495 17.2226276234462 18.309582 205.82628854516  7.75000078696405 18.978168 1.286    267.184999688  25.3022225777 9903.73   0.159209675733396  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.97017 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      156.40479682448 -27.26712120283 0.16482983604671414 
  HYDRA-0042   SPLUS.HYDRA-0042.0000012338.griz   154.4839  -28.41458 5669.622 3292.582 117     249.85 0         3.05 1.51   13.83 2.35 2.27 -5.67  1.439    1.14     12        12         12        16.07      0.02        192.4          15.71       0.02         203.2           15.98      0.02        198.6          16.17     0.02       130.2         15.82      0.02        136.1          16.09     0.02       134.1         16.33     0.02       85.0          15.95      0.02        86.8           16.23     0.02       87.8          16.31     0.02       96.2          15.94      0.02        97.3           16.23     0.02       99.0          16.46     0.02       92.0          16.04      0.02        94.9           16.36     0.02       95.4          16.73  0.02    174.3      16.21   0.02     196.1       16.61  0.02    183.3      16.73     0.02       92.5          16.32      0.02        92.2           16.62     0.02       96.1          17.12  0.02    155.6      16.78   0.02     136.2       17.03  0.02    158.7      17.33     0.02       118.8         16.98      0.02        101.3          17.24     0.02       120.9         17.56  0.02    99.8       17.2    0.02     68.8        17.46  0.02    99.0       17.76     0.02       44.2          17.36      0.04        28.1           17.66     0.03       43.2          17.9   0.02    51.1       17.65   0.04     26.8        17.83  0.02    48.2       353362 " " WDJ101756.09-282452.03 "Gaia DR2 5462743550592623744" 5462743550592623744 154.4838227655  0.0725495001054361 -28.41455887268 0.0966831611734294 2.3477  0.1071 20.323  0.177  -24.781 0.163  0.363 0.17232242 3871.68186425355 7.55330740688392  16.718616 3671.22745490309 39.6408755951289 16.43936  1199.25436271295 7.38761316634274 17.064642 1.258    266.4317851045 23.3707149276 12169.656 0.134687524370165  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.96258 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      154.48372327801 -28.41445217709 0.2561022767942337  
  HYDRA-0042   SPLUS.HYDRA-0042.0000022174.griz   155.02001 -28.11697 2575.051 5234.54  30      51.21  0         3.04 1.5    15.99 1.79 1.75 16.34  1.327    1.28     12        12         12        18.54      0.02        52.2           18.14       0.02         45.9            18.38      0.02        52.1           18.65     0.03       35.0          18.19      0.03        31.9           18.46     0.03       35.5          18.71     0.05       23.0          18.38      0.06        18.0           18.54     0.05       22.7          18.9      0.05       22.6          18.44      0.06        19.0           18.73     0.05       22.0          18.89     0.05       23.6          18.36      0.05        21.2           18.69     0.05       23.5          19.1   0.02    48.6       18.51   0.02     47.6        18.84  0.02    51.1       19.09     0.05       24.0          18.61      0.05        20.2           18.9      0.05       23.5          19.49  0.03    36.1       19.04   0.04     27.5        19.27  0.03    35.5       19.52     0.04       30.6          19.12      0.05        22.4           19.35     0.04       28.8          19.74  0.05    20.3       19.41   0.09     12.7        19.58  0.06    18.3       20.03     0.15       7.4           19.82      0.27        4.0            19.81     0.16       6.9           20.03  0.12    9.1        19.53   0.17     6.4         19.86  0.13    8.1        201476 " " WDJ102004.80-280701.13 "Gaia DR2 5462765983204809728" 5462765983204809728 155.01997319402 0.230659353914838  -28.11695564769 0.235975776522313  1.0383  0.3252 -9.746  0.652  5.705   0.477  0.596 0.61864626 488.173408145851 1.43182412832587  18.96693  434.496731457642 5.35854190286307 18.756422 156.431486745641 4.85092052046605 19.27611  1.21     266.6495771359 23.8920084701 10657.738 0.129232425738833  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.96884 0     51846.187059 25001.033768 7.902485 0.68354  0.650724 0.306028 0.233607  ""     ""       ""     ""       ""     ""       ""      155.02002077287 -28.11698021297 0.12777702184690723 
  HYDRA-0048   SPLUS.HYDRA-0048.0000035047.griz   164.6318  -27.77451 2251.396 7474.82  13      29.66  3         2.1  1.04   16.89 1.42 1.2  72.45  0.926    1.21     12        12         12        20.49      0.06        17.1           19.85       0.08         13.8            19.91      0.07        16.4           20.46     0.09       11.5          19.67      0.1         10.4           19.83     0.09       11.4          20.21     0.12       9.1           19.98      0.22        4.9            19.74     0.14       7.8           20.65     0.14       7.5           19.53      0.13        8.7            19.77     0.12       8.9           20.37     0.11       10.1          19.64      0.13        8.5            19.87     0.12       8.8           20.38  0.04    29.3       19.75   0.04     25.7        19.87  0.04    28.5       20.45     0.1        11.1          19.8       0.12        8.7            19.87     0.1        10.4          20.59  0.04    24.2       20.03   0.06     18.5        20.12  0.05    21.5       20.83     0.07       14.5          20.05      0.09        12.6           20.21     0.08       13.9          20.65  0.07    16.2       20.53   0.14     7.5         20.44  0.1     10.5       22.3      0.81       1.3           21.05      0.66        1.6            21.74     0.96       1.1           20.53  0.12    9.4        20.18   0.21     5.1         20.11  0.15    7.1        357470 " " WDJ105831.66-274628.30 "Gaia DR2 5456782582660955136" 5456782582660955136 164.63175225655 0.459196378992304  -27.77448445701 0.491400329427943  5.0052  0.7677 -34.94  1.074  9.986   0.927  0.0   0.99410737 183.332748854213 0.974614406319453 20.030266 146.50230862217  10.3553598242164 19.936777 51.7110584913992 1.94730023888259 20.47796  1.081    274.4145672683 28.7715372796 10730.398 0.147310922734811  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.99731 1     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      164.63192228211 -27.77452745241 0.17771399538449886 
  HYDRA-0057   SPLUS.HYDRA-0057.0000011453.griz   163.12059 -29.88563 5096.092 2735.159 126     259.98 0         2.22 1.1    13.9  2.4  2.27 6.02   1.272    1.13     12        12         12        16.75      0.02        164.6          16.43       0.02         165.2           16.69      0.02        167.7          16.87     0.02       100.9         16.58      0.02        99.1           16.82     0.02       102.3         17.0      0.02       66.6          16.68      0.02        62.8           16.94     0.02       67.4          17.03     0.02       90.4          16.63      0.02        86.8           16.96     0.02       91.9          17.09     0.02       92.9          16.72      0.02        86.8           17.02     0.02       94.1          17.31  0.02    191.8      16.88   0.02     197.8       17.23  0.02    196.8      17.37     0.02       93.8          16.99      0.02        85.1           17.29     0.02       95.2          17.76  0.02    163.5      17.42   0.02     135.2       17.68  0.02    163.7      17.89     0.02       132.3         17.59      0.02        105.7          17.83     0.02       132.2         18.15  0.02    107.3      17.82   0.02     70.5        18.08  0.02    104.4      18.4      0.02       49.8          18.2       0.04        26.2           18.36     0.02       46.3          18.48  0.02    53.5       18.23   0.04     27.7        18.42  0.02    50.1       204122 " " WDJ105228.94-295308.20 "Gaia DR2 5456112705203412352" 5456112705203412352 163.12055816059 0.0916110343494595 -29.88562728205 0.0994742949908481 1.9288  0.1454 -3.467  0.204  -3.611  0.2    0.273 0.19467092 2120.33148265394 4.7953244802445   17.372356 1987.51118363424 17.2466232626637 17.105614 700.209719422479 7.45291944041324 17.64885  1.268    274.2677265006 26.283114476  10516.587 0.141940049651918  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.98318 0     77164.882421 29998.304399 8.013579 0.279676 0.750344 0.125962 22.054713 ""     ""       ""     ""       ""     ""       ""      163.120575378   -29.88561173616 0.09986018044901875 
  HYDRA-0058   SPLUS.HYDRA-0058.0000058301.griz   164.78495 -29.03439 4806.456 8306.819 25      53.3   0         2.26 1.12   16.14 1.62 1.53 -3.36  1.009    1.14     12        12         12        19.44      0.02        58.4           18.86       0.02         52.4            19.05      0.02        60.3           19.57     0.03       36.8          19.0       0.03        31.7           19.18     0.03       37.5          19.72     0.05       19.9          19.07      0.06        17.5           19.3      0.05       20.3          19.78     0.05       22.1          19.16      0.06        18.8           19.39     0.05       21.7          19.92     0.05       21.2          19.47      0.07        15.5           19.59     0.05       19.9          20.0   0.02    51.2       19.48   0.03     43.5        19.66  0.02    51.1       20.01     0.05       23.7          19.53      0.06        17.7           19.72     0.05       21.6          20.32  0.03    37.0       19.86   0.04     26.4        20.01  0.03    33.7       20.49     0.03       31.4          20.04      0.05        21.8           20.19     0.04       28.1          20.71  0.05    20.9       20.32   0.09     12.4        20.42  0.06    17.3       20.56     0.09       12.1          19.98      0.13        8.2            20.29     0.11       9.6           20.97  0.11    10.2       20.5    0.18     6.1         20.72  0.14    7.8        357545 " " WDJ105908.42-290203.91 "Gaia DR2 5453272078256878208" 5453272078256878208 164.7849266476  0.504327134280267  -29.03437596081 0.463761169645186  1.4531  0.6306 -29.525 0.866  9.809   0.883  0.0   0.95879453 231.624733733386 1.11269862148516  19.776403 211.000481408341 10.1545086449205 19.54068  67.9313236579832 5.1223393907545  20.181746 1.204    275.2308280014 27.7282288667 10009.841 0.122255235292769  ""   ""   ""     ""      ""     ""   ""     ""   ""     ""   ""     0.99457 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      164.78507204005 -29.03441819291 0.08920304365336895 
