# FIELD        ID                                 RA        Dec       X        Y        ISOarea s2nDet PhotoFlag FWHM FWHM_n MUMAX A    B    THETA  FlRadDet KrRadDet nDet_auto nDet_petro nDet_aper uJAVA_auto euJAVA_auto s2n_uJAVA_auto uJAVA_petro euJAVA_petro s2n_uJAVA_petro uJAVA_aper euJAVA_aper s2n_uJAVA_aper F378_auto eF378_auto s2n_F378_auto F378_petro eF378_petro s2n_F378_petro F378_aper eF378_aper s2n_F378_aper F395_auto eF395_auto s2n_F395_auto F395_petro eF395_petro s2n_F395_petro F395_aper eF395_aper s2n_F395_aper F410_auto eF410_auto s2n_F410_auto F410_petro eF410_petro s2n_F410_petro F410_aper eF410_aper s2n_F410_aper F430_auto eF430_auto s2n_F430_auto F430_petro eF430_petro s2n_F430_petro F430_aper eF430_aper s2n_F430_aper g_auto eg_auto s2n_g_auto g_petro eg_petro s2n_g_petro g_aper eg_aper s2n_g_aper F515_auto eF515_auto s2n_F515_auto F515_petro eF515_petro s2n_F515_petro F515_aper eF515_aper s2n_F515_aper r_auto er_auto s2n_r_auto r_petro er_petro s2n_r_petro r_aper er_aper s2n_r_aper F660_auto eF660_auto s2n_F660_auto F660_petro eF660_petro s2n_F660_petro F660_aper eF660_aper s2n_F660_aper i_auto ei_auto s2n_i_auto i_petro ei_petro s2n_i_petro i_aper ei_aper s2n_i_aper F861_auto eF861_auto s2n_F861_auto F861_petro eF861_petro s2n_F861_petro F861_aper eF861_aper s2n_F861_aper z_auto ez_auto s2n_z_auto z_petro ez_petro s2n_z_petro z_aper ez_aper s2n_z_aper recno  Sp WD                     DR2Name                      Source              RA_ICRS         e_RA_ICRS          DE_ICRS         e_DE_ICRS          Plx    e_Plx  pmRA    e_pmRA pmDE    e_pmDE epsi  amax       FG               e_FG             Gmag_2    FBP              e_FBP            BPmag     FRP              e_FRP            RPmag     E(BR/RP) GLON           GLAT          Density   AG                 SDSS                umag   e_umag gmag_2a e_gmag rmag   e_rmag imag   e_imag zmag   e_zmag Pwd     f_Pwd TeffH        e_TeffH      loggH    e_loggH  MassH    e_MassH  chi2H     TeffHe e_TeffHe loggHe e_loggHe MassHe e_MassHe chisqHe _RA_icrs        _DE_icrs        Separation          
  SPLUS-n01s37 SPLUS.SPLUS-n01s37.0000016775.griz 199.35306 0.04381   7759.066 5787.242 183     406.69 0         2.63 0.96   12.76 2.47 2.33 -85.29 1.332    1.04     12        12         12        15.43      0.02        248.6          14.98       0.02         292.9           15.33      0.02        260.4          15.53     0.02       171.9         15.11      0.02        197.2          15.43     0.02       179.3         15.62     0.02       116.9         15.18      0.02        131.4          15.52     0.02       121.9         15.7      0.02       119.5         15.14      0.02        141.0          15.56     0.02       127.1         15.74     0.02       127.8         15.34      0.02        139.0          15.64     0.02       132.9         15.98  0.02    268.3      15.65   0.02     286.6       15.9   0.02    276.3      16.02     0.02       138.2         15.71      0.02        140.4          15.95     0.02       141.8         16.41  0.02    245.4      16.16   0.02     228.0       16.35  0.02    248.7      16.64     0.02       176.9         16.25      0.02        173.6          16.54     0.02       183.2         16.87  0.02    172.8      16.54   0.02     136.5       16.79  0.02    174.1      17.11     0.02       80.3          16.77      0.02        54.0           17.02     0.02       79.6          17.21  0.02    96.0       16.85   0.02     60.5        17.11  0.02    94.5       28252  *  WDJ131724.75+000237.38 "Gaia DR2 3687524749863026304" 3687524749863026304 199.35302521052 0.106195871599209  0.04380180923   0.0616328827897339 2.9444 0.1269 -21.152 0.177  19.996  0.108  0.334 0.16921352 7165.39753995138 35.2623554881853 16.050264 7042.65308865807 65.1406912534345 15.732047 2280.41135705625 14.2626989286503 16.366886 1.301    316.967777363  62.2056294847 4464.0063 0.0589758137323085 J131724.75+000237.3 15.249 0.004  15.741  0.003  16.305 0.004  16.696 0.005  17.063 0.012  0.95985 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      199.35311628233 0.04371571722   0.1286664337291276  
  SPLUS-n03s20 SPLUS.SPLUS-n03s20.0000016988.griz 175.92383 -2.69954  9946.321 5614.936 28      31.99  0         4.25 1.55   17.08 1.77 1.63 -20.54 1.35     1.22     12        12         12        19.9       0.05        21.7           19.25       0.05         20.8            19.56      0.05        22.8           19.94     0.07       14.5          19.45      0.09        11.9           19.57     0.07       15.6          20.2      0.14       7.5           19.25      0.13        8.4            19.62     0.12       9.2           20.1      0.13       8.6           19.25      0.12        8.9            19.67     0.12       9.4           20.32     0.16       6.6           19.29      0.14        7.8            19.77     0.14       7.9           20.13  0.04    25.3       19.5    0.05     22.9        19.77  0.04    26.5       20.08     0.1        10.7          19.43      0.12        9.4            19.68     0.09       11.4          20.39  0.05    20.6       19.71   0.06     18.4        20.0   0.05    21.6       20.62     0.07       15.2          20.05      0.09        12.2           20.28     0.07       15.3          20.72  0.08    13.1       20.23   0.12     9.3         20.38  0.08    12.9       21.11     0.27       4.0           20.19      0.27        4.1            20.63     0.24       4.4           21.06  0.19    5.7        19.89   0.15     7.2         20.49  0.16    6.8        67399  " " WDJ114341.71-024158.59 "Gaia DR2 3792713167570814720" 3792713167570814720 175.92379492997 0.533587400574827  -2.69957423656  0.376524884594216  1.2906 0.6745 -2.554  1.232  8.126   0.672  0.0   1.0848645  220.608853102321 1.26212914370761 19.829308 195.679991674265 12.765060122485  19.622522 70.5768183833735 6.76713433162566 20.140265 1.207    271.5825763786 55.9930917461 3780.8555 0.044047779067143  J114341.71-024158.5 19.449 0.032  19.512  0.014  19.966 0.027  20.331 0.047  20.597 0.237  0.98756 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      175.92380593693 -2.69960922357  0.17633830262049288 
  SPLUS-n03s21 SPLUS.SPLUS-n03s21.0000006116.griz 178.56285 -3.20141  1575.237 2329.995 161     366.68 2         1.98 0.72   12.55 2.36 2.29 -44.04 1.13     1.0      12        12         12        15.55      0.02        227.8          14.95       0.02         288.5           15.33      0.02        250.3          15.69     0.02       156.7         15.12      0.02        192.5          15.49     0.02       171.0         15.69     0.02       116.8         15.27      0.02        130.6          15.54     0.02       123.8         15.74     0.02       125.5         15.34      0.02        137.6          15.61     0.02       132.4         15.84     0.02       124.6         15.44      0.02        135.5          15.71     0.02       131.0         16.08  0.02    250.7      15.71   0.02     273.7       15.96  0.02    263.2      16.17     0.02       119.4         15.69      0.02        131.0          16.01     0.02       126.7         16.51  0.02    228.7      16.22   0.02     220.1       16.41  0.02    234.7      16.66     0.02       181.0         16.37      0.02        172.0          16.56     0.02       186.1         16.95  0.02    172.2      16.68   0.02     135.6       16.86  0.02    171.7      17.23     0.02       78.1          16.95      0.02        49.3           17.12     0.02       75.0          17.3   0.02    103.5      17.03   0.02     61.6        17.2   0.02    97.7       68246  " " WDJ115415.06-031205.13 "Gaia DR2 3601781534594624000" 3601781534594624000 178.56279639978 0.0833769408522551 -3.20142797258  0.042083640865851  1.1708 0.0925 8.504   0.187  -0.492  0.088  0.376 0.16981764 6827.01756489792 12.6675646016606 16.102789 6587.30784173824 55.0454748850778 15.804618 2104.60127679599 9.42859904346892 16.453995 1.273    276.2623785661 56.6798480411 4248.935  0.050888888742411  J115415.06-031205.1 15.22  0.004  15.722  0.003  16.347 0.004  16.727 0.005  17.075 0.012  0.85618 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      178.5627597275  -3.20142585493  0.20323385262080193 
  SPLUS-n03s21 SPLUS.SPLUS-n03s21.0000016440.griz 178.07798 -2.82113  4743.98  4820.263 48      123.33 0         2.19 0.8    14.54 1.8  1.76 14.24  1.14     1.18     12        12         12        17.88      0.02        73.5           17.14       0.02         91.6            17.49      0.02        85.8           17.95     0.02       51.6          17.27      0.02        59.7           17.59     0.02       58.9          17.91     0.03       38.4          17.42      0.03        38.0           17.65     0.03       41.0          17.92     0.03       42.0          17.44      0.03        40.7           17.66     0.02       44.7          17.97     0.03       42.5          17.5       0.03        40.6           17.74     0.02       44.4          18.17  0.02    88.9       17.76   0.02     85.5        17.96  0.02    92.8       18.25     0.03       40.3          17.77      0.03        37.3           18.0      0.03       42.0          18.55  0.02    77.8       18.23   0.02     62.1        18.37  0.02    77.3       18.75     0.02       59.1          18.39      0.02        47.0           18.54     0.02       59.0          18.91  0.02    52.9       18.63   0.03     34.2        18.74  0.02    48.6       19.12     0.05       21.0          18.78      0.09        12.6           18.98     0.06       17.8          19.12  0.04    28.2       18.98   0.08     13.9        18.99  0.05    23.5       23078  *  WDJ115218.70-024915.86 "Gaia DR2 3602044111715764480" 3602044111715764480 178.07792370939 0.179094353858967  -2.82113592875  0.0854671219345475 1.6706 0.2091 5.242   0.387  -14.651 0.181  0.12  0.3433012  1133.34297238328 1.94908143622315 18.052462 1083.23272226289 21.9716236395227 17.764584 376.92681894201  6.21398233116149 18.321278 1.288    275.1731086301 56.8297801194 4573.0347 0.0406945974533173 J115218.69-024915.8 17.314 0.009  17.742  0.005  18.24  0.008  18.617 0.012  18.954 0.056  0.987   0     41397.321098 13594.776516 7.848694 0.403474 0.602125 0.186819 8.942601  ""     ""       ""     ""       ""     ""       ""      178.07790111174 -2.82107284694  0.20352284288367123 
  SPLUS-n03s24 SPLUS.SPLUS-n03s24.0000010166.griz 182.36648 -3.0351   3351.672 3419.434 88      235.02 0         2.11 0.77   13.5  2.17 1.98 -5.13  1.103    1.1      12        12         12        16.59      0.02        123.1          16.18       0.02         137.8           16.44      0.02        130.9          16.74     0.02       100.6         16.33      0.02        108.9          16.59     0.02       106.5         16.78     0.02       69.7          16.38      0.02        71.7           16.63     0.02       73.1          16.84     0.02       72.6          16.35      0.02        77.7           16.65     0.02       77.8          16.9      0.02       76.9          16.54      0.02        76.0           16.77     0.02       79.7          17.07  0.02    162.0      16.78   0.02     161.4       16.97  0.02    167.2      17.13     0.02       81.2          16.86      0.02        74.2           17.04     0.02       82.1          17.49  0.02    144.7      17.26   0.02     123.1       17.41  0.02    144.3      17.67     0.02       110.7         17.39      0.02        93.8           17.56     0.02       111.5         17.9   0.02    102.5      17.66   0.02     69.8        17.82  0.02    97.6       18.17     0.03       43.2          17.97      0.05        24.0           18.09     0.03       39.1          18.27  0.02    53.7       17.97   0.03     31.2        18.16  0.02    48.7       26712  *  WDJ120927.94-030206.31 "Gaia DR2 3598325632110462080" 3598325632110462080 182.36640868988 0.127148192893037  -3.03510395872  0.0966602554740268 0.9122 0.1368 -5.871  0.289  -3.861  0.182  0.261 0.2835324  2748.25567358316 5.19908488824787 17.090723 2624.3309208063  21.9601664848183 16.803843 866.231761818417 7.2947524727044  17.417835 1.27     282.7532401798 58.1827391828 4032.2388 0.055703769125794  J120927.93-030206.2 16.306 0.005  16.761  0.004  17.34  0.005  17.709 0.007  18.063 0.024  0.9031  0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      182.36643400359 -3.03508733287  0.2567521587457094  
  SPLUS-n03s43 SPLUS.SPLUS-n03s43.0000010680.griz 208.48704 -2.94168  1329.915 4030.102 49      135.19 0         2.04 0.74   13.89 1.94 1.74 -53.58 1.152    1.22     12        12         12        17.22      0.02        99.9           16.7        0.02         99.2            16.97      0.02        106.6          17.3      0.02       70.1          16.88      0.02        64.6           17.1      0.02       72.8          17.32     0.02       49.0          16.95      0.03        41.6           17.13     0.02       49.7          17.37     0.02       50.3          17.0       0.03        40.1           17.19     0.02       49.8          17.43     0.02       51.0          17.1       0.03        38.9           17.26     0.02       49.9          17.65  0.02    104.2      17.28   0.02     82.3        17.48  0.02    102.3      17.69     0.02       53.0          17.38      0.03        38.8           17.55     0.02       50.7          18.01  0.02    94.2       17.72   0.02     65.9        17.87  0.02    89.0       18.18     0.02       72.3          17.9       0.02        49.6           18.04     0.02       67.8          18.4   0.02    65.1       18.14   0.03     39.5        18.28  0.02    58.0       18.68     0.04       26.3          18.31      0.07        16.1           18.58     0.05       22.1          18.69  0.03    33.6       18.37   0.06     19.3        18.53  0.04    29.4       26115  *  WDJ135356.89-025630.44 "Gaia DR2 3657406892995238912" 3657406892995238912 208.48700646094 0.128142419196115  -2.94173879426  0.111406940751622  2.1358 0.1636 -6.518  0.278  11.94   0.205  0.057 0.25654107 1693.84787975922 5.89694026628715 17.61618  1577.72867183436 18.2457592901602 17.356308 565.409103546635 7.93770750478007 17.881014 1.265    331.9878341749 56.3623466477 4357.613  0.101299545979956  J135356.88-025630.4 16.893 0.007  17.295  0.005  17.833 0.006  18.181 0.009  18.474 0.032  0.99069 0     55119.908352 20842.159835 8.075121 0.303819 0.740413 0.155288 11.926923 ""     ""       ""     ""       ""     ""       ""      208.4870345595  -2.94179020109  0.24359715813752286 
  SPLUS-n07s41 SPLUS.SPLUS-n07s41.0000001002.griz 205.0623  -8.79756  7188.179 1163.003 36      59.54  0         4.96 1.8    16.23 1.96 1.7  -66.35 1.817    1.71     12        12         12        18.07      0.02        65.5           17.83       0.02         61.8            18.13      0.02        64.3           18.25     0.03       38.7          17.94      0.03        36.7           18.34     0.03       37.3          18.29     0.04       25.9          17.95      0.04        24.2           18.37     0.04       25.0          18.27     0.04       29.6          18.07      0.04        24.8           18.36     0.04       28.4          18.38     0.04       29.4          18.18      0.04        24.5           18.44     0.04       28.8          18.63  0.02    61.0       18.46   0.02     50.8        18.71  0.02    59.3       18.63     0.04       29.8          18.49      0.05        23.3           18.69     0.04       29.3          19.04  0.02    44.1       18.88   0.03     33.1        19.08  0.02    44.1       19.26     0.03       32.5          19.11      0.05        23.8           19.3      0.03       32.4          19.48  0.05    22.9       19.39   0.07     15.0        19.53  0.05    22.8       19.85     0.16       6.6           19.56      0.22        5.0            19.91     0.17       6.5           20.07  0.15    7.3        20.21   0.29     3.7         20.17  0.16    7.0        374735 " " WDJ134014.95-084751.53 "Gaia DR2 3618180162111660544" 3618180162111660544 205.06224373574 0.272304973786059  -8.79760420761  0.22088515945317   0.7104 0.3224 -7.394  0.611  9.95    0.451  0.84  0.5647648  591.390071466247 1.74739300845903 18.75868  563.143874913626 12.498521829973  18.47484  193.568151225278 10.8577333266007 19.044836 1.28     322.8472594738 52.1766239598 5328.349  0.113569630684776  ""                  ""     ""     ""      ""     ""     ""     ""     ""     ""     ""     0.87386 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      205.06227595158 -8.79764704748  0.25572492357179266 
  SPLUS-n07s42 SPLUS.SPLUS-n07s42.0000000731.griz 206.91927 -8.81024  4030.459 1080.124 20      32.05  0         3.75 1.36   16.42 1.6  1.54 -42.64 1.584    1.8      12        12         12        18.75      0.03        31.2           18.48       0.04         26.3            18.72      0.04        30.8           18.89     0.05       20.1          18.7       0.07        15.8           18.87     0.05       19.9          18.96     0.09       12.4          18.64      0.1         10.7           18.92     0.09       12.3          19.1      0.1        11.2          18.9       0.13        8.5            19.07     0.1        11.1          19.02     0.09       12.7          18.71      0.1         10.7           18.95     0.08       13.0          19.33  0.04    24.4       19.22   0.06     17.2        19.31  0.05    23.8       19.45     0.1        11.0          19.39      0.15        7.3            19.45     0.1        10.5          19.74  0.05    20.9       19.5    0.07     16.3        19.73  0.05    20.2       19.8      0.06       17.8          19.77      0.09        11.6           19.8      0.06       17.1          20.12  0.08    13.8       20.03   0.12     9.4         20.12  0.08    13.3       20.19     0.16       6.7           20.28      0.28        3.9            20.28     0.18       6.0           20.35  0.15    7.3        20.29   0.23     4.7         20.35  0.16    6.9        375477 " " WDJ134740.62-084836.91 "Gaia DR2 3617490149845395200" 3617490149845395200 206.91927139655 0.383547919624436  -8.81026918117  0.284678780269536  0.5351 0.3976 1.284   0.922  -3.951  0.599  0.0   0.824857   320.304399244478 1.76153038898919 19.424458 323.576044937306 12.6944997527206 19.076447 113.552090441539 10.0814433193716 19.623932 1.365    325.6490958559 51.5637418621 5400.3535 0.113321116353473  ""                  ""     ""     ""      ""     ""     ""     ""     ""     ""     ""     0.8199  0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      206.91926580274 -8.8102521693   0.10516962892048434 
  SPLUS-n08s03 SPLUS.SPLUS-n08s03.0000039680.griz 154.1388  -9.07716  3912.562 8175.87  39      128.92 2         2.18 0.79   14.63 1.82 1.66 88.28  1.048    1.06     12        12         12        17.83      0.02        72.5           17.36       0.02         78.0            17.54      0.02        79.7           17.79     0.02       57.8          17.37      0.02        59.6           17.54     0.02       62.1          17.88     0.03       40.7          17.44      0.03        39.6           17.63     0.03       43.0          17.86     0.02       44.8          17.42      0.03        43.5           17.61     0.02       47.0          17.97     0.02       43.8          17.61      0.03        39.5           17.77     0.02       44.6          18.15  0.02    92.5       17.82   0.02     87.3        17.96  0.02    95.5       18.21     0.02       45.4          17.87      0.03        39.0           18.02     0.02       45.3          18.61  0.02    81.6       18.34   0.02     65.4        18.44  0.02    79.8       18.83     0.02       61.6          18.5       0.02        49.9           18.61     0.02       61.0          19.05  0.02    57.2       18.77   0.03     38.2        18.86  0.02    52.5       19.23     0.04       26.3          18.99      0.07        14.8           19.1      0.05       21.7          19.39  0.04    29.6       19.05   0.06     17.3        19.17  0.04    25.4       353223 " " WDJ101633.30-090437.68 "Gaia DR2 3769039136036727552" 3769039136036727552 154.13874759539 0.328651158627716  -9.07714504155  0.500409434069793  0.8443 0.2484 -4.534  0.504  -2.472  0.675  0.0   0.8835895  1084.17986935119 5.49787216524797 18.100613 1009.28969449942 17.867043170365  17.841349 334.470593837827 13.3933638901746 18.451025 1.239    251.4534704321 37.8603295476 4968.204  0.104257263766259  ""                  ""     ""     ""      ""     ""     ""     ""     ""     ""     ""     0.92153 0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      154.13876736553 -9.0771343966   0.19392092788676185 
  SPLUS-n08s39 SPLUS.SPLUS-n08s39.0000026319.griz 203.54064 -9.26565  4325.623 6942.354 19      32.66  0         2.86 1.04   16.39 1.7  1.58 42.1   1.35     1.66     12        12         12        19.16      0.03        32.2           18.8        0.04         28.7            19.04      0.03        32.7           19.29     0.05       19.9          18.87      0.06        18.2           19.19     0.05       20.0          19.22     0.08       14.4          19.01      0.1         10.8           19.16     0.08       13.9          19.2      0.07       15.8          19.19      0.11        10.0           19.2      0.07       14.6          19.2      0.07       16.2          18.96      0.09        12.5           19.12     0.07       16.0          19.54  0.03    32.4       19.24   0.04     26.5        19.46  0.03    32.0       19.76     0.09       12.6          19.39      0.11        10.3           19.67     0.09       12.3          19.85  0.04    25.0       19.46   0.05     20.9        19.78  0.04    24.1       20.22     0.07       16.3          19.92      0.09        12.3           20.12     0.07       15.9          20.42  0.1     11.3       20.34   0.16     6.7         20.41  0.11    10.2       20.39     0.21       5.3           20.38      0.37        2.9            20.28     0.21       5.2           20.72  0.23    4.7        20.43   0.32     3.3         20.77  0.27    4.0        374221 " " WDJ133409.74-091556.44 "Gaia DR2 3618009256773330176" 3618009256773330176 203.54058870352 0.434437842681379  -9.26568662548  0.312813701666526  0.8232 0.4305 0.152   0.991  -2.042  0.64   0.0   0.88136816 270.04366671652  1.40288504438419 19.609781 294.695271720026 11.4301604611773 19.177956 103.169432433601 8.02539485245368 19.728043 1.473    320.2809709316 52.1610169034 5508.229  0.088776371984754  ""                  ""     ""     ""      ""     ""     ""     ""     ""     ""     ""     0.8746  0     ""           ""           ""       ""       ""       ""       ""        ""     ""       ""     ""       ""     ""       ""      203.54058803851 -9.26567783554  0.2249506718500081  
