# FIELD         ID                                  RA        Dec      X        Y        ISOarea s2nDet PhotoFlag FWHM FWHM_n MUMAX A    B    THETA  FlRadDet KrRadDet nDet_auto nDet_petro nDet_aper uJAVA_auto euJAVA_auto s2n_uJAVA_auto uJAVA_petro euJAVA_petro s2n_uJAVA_petro uJAVA_aper euJAVA_aper s2n_uJAVA_aper F378_auto eF378_auto s2n_F378_auto F378_petro eF378_petro s2n_F378_petro F378_aper eF378_aper s2n_F378_aper F395_auto eF395_auto s2n_F395_auto F395_petro eF395_petro s2n_F395_petro F395_aper eF395_aper s2n_F395_aper F410_auto eF410_auto s2n_F410_auto F410_petro eF410_petro s2n_F410_petro F410_aper eF410_aper s2n_F410_aper F430_auto eF430_auto s2n_F430_auto F430_petro eF430_petro s2n_F430_petro F430_aper eF430_aper s2n_F430_aper g_auto eg_auto s2n_g_auto g_petro eg_petro s2n_g_petro g_aper eg_aper s2n_g_aper F515_auto eF515_auto s2n_F515_auto F515_petro eF515_petro s2n_F515_petro F515_aper eF515_aper s2n_F515_aper r_auto er_auto s2n_r_auto r_petro er_petro s2n_r_petro r_aper er_aper s2n_r_aper F660_auto eF660_auto s2n_F660_auto F660_petro eF660_petro s2n_F660_petro F660_aper eF660_aper s2n_F660_aper i_auto ei_auto s2n_i_auto i_petro ei_petro s2n_i_petro i_aper ei_aper s2n_i_aper F861_auto eF861_auto s2n_F861_auto F861_petro eF861_petro s2n_F861_petro F861_aper eF861_aper s2n_F861_aper z_auto ez_auto s2n_z_auto z_petro ez_petro s2n_z_petro z_aper ez_aper s2n_z_aper recno  Sp WD                     DR2Name                      Source              RA_ICRS         e_RA_ICRS          DE_ICRS        e_DE_ICRS          Plx    e_Plx  pmRA    e_pmRA pmDE    e_pmDE epsi  amax       FG               e_FG             Gmag_2    FBP              e_FBP            BPmag     FRP              e_FRP            RPmag     E(BR/RP) GLON           GLAT           Density   AG                 SDSS                umag   e_umag gmag_2a e_gmag rmag   e_rmag imag   e_imag zmag   e_zmag Pwd     f_Pwd TeffH        e_TeffH      loggH    e_loggH  MassH    e_MassH  chi2H     TeffHe       e_TeffHe     loggHe   e_loggHe MassHe   e_MassHe chisqHe   _RA_icrs        _DE_icrs       Separation          
  STRIPE82-0026 SPLUS.STRIPE82-0026.0000019213.griz 16.37609  0.66934  9635.698 5300.079 63      169.1  0         2.28 0.76   14.1  1.91 1.87 31.31  1.176    1.13     11        11         11        17.26      0.02        94.1           16.83       0.02         101.3           17.05      0.02        100.8          17.34     0.02       77.8          16.92      0.02        81.9           17.15     0.02       83.2          17.4      0.02       54.2          17.03      0.02        52.5           17.23     0.02       56.2          17.42     0.02       62.0          17.11      0.02        58.2           17.27     0.02       63.7          17.57     0.02       57.7          17.13      0.02        57.3           17.35     0.02       61.5          17.7   0.02    129.0      17.39   0.02     127.7       17.55  0.02    134.4      17.76     0.02       62.4          17.44      0.02        56.3           17.6      0.02       64.0          -99.0  0.0     -1.0       -99.0   0.0      -1.0        -99.0  0.0     -1.0       18.24     0.02       87.0          17.98      0.02        70.2           18.12     0.02       85.7          18.48  0.02    79.7       18.24   0.02     54.0        18.36  0.02    74.9       18.72     0.03       33.9          18.42      0.05        20.4           18.6      0.04       29.8          18.82  0.03    40.7       18.49   0.04     24.3        18.69  0.03    35.7       24734  *  WDJ010530.28+004010.07 "Gaia DR2 2537873811312384256" 2537873811312384256 16.37610911567  0.146770305325274  0.66935104472  0.0878037365752571 1.5454 0.1662 -17.192 0.351  -25.997 0.167  0.406 0.3279445  1599.72641458094 3.29351756059929 17.678251 1446.69119578622 21.427477404508  17.450449 528.042442861856 9.47908818213202 17.955248 1.234    130.4380882093 -61.9972187302 3528.3035 0.0534116974115068 J010530.27+004009.9 16.973 0.009  17.377  0.005  17.892 0.008  18.278 0.012  18.604 0.037  0.96141 0     37562.896087 8919.243411  7.432739 0.318454 0.432795 0.091715 0.588068  ""           ""           ""       ""       ""       ""       ""        16.37618314006  0.66946297612  0.07944716820651157 
  STRIPE82-0028 SPLUS.STRIPE82-0028.0000008144.griz 18.44487  0.47462  5371.746 4025.289 280     633.14 0         2.47 0.82   12.63 2.74 2.61 -10.56 1.305    1.0      12        12         12        14.69      0.02        357.5          14.16       0.02         421.6           14.58      0.02        376.0          14.75     0.02       262.5         14.33      0.02        290.9          14.67     0.02       271.7         14.85     0.02       184.1         14.43      0.02        195.2          14.77     0.02       190.0         14.9      0.02       208.1         14.49      0.02        219.6          14.82     0.02       214.6         14.96     0.02       218.0         14.6       0.02        224.1          14.9      0.02       223.8         15.17  0.02    428.7      14.83   0.02     449.3       15.11  0.02    439.8      15.25     0.02       208.0         14.89      0.02        207.8          15.18     0.02       213.3         15.63  0.02    358.5      15.32   0.02     337.2       15.57  0.02    365.2      15.79     0.02       277.2         15.46      0.02        262.0          15.72     0.02       283.6         16.01  0.02    277.6      15.75   0.02     209.8       15.96  0.02    277.9      16.26     0.02       128.3         15.99      0.02        78.3           16.21     0.02       125.1         16.32  0.02    167.7      16.06   0.02     97.1        16.28  0.02    163.0      28197  *  WDJ011346.78+002828.65 "Gaia DR2 2534875752341082880" 2534875752341082880 18.44491363744  0.0630457079032654 0.47459493649  0.0395497116272281 4.3045 0.0717 2.789   0.151  -6.688  0.076  0.326 0.14528088 15199.5949045026 14.0515353747564 15.233786 14097.056640923  133.005953215402 14.978567 4827.85783021675 12.2977824819659 15.552534 1.245    134.8487733816 -61.8791264833 2808.0752 0.0669187688691929 J011346.77+002828.6 14.484 0.003  14.956  0.003  15.486 0.003  15.85  0.004  16.192 0.007  0.97296 0     63930.533127 7101.604579  7.720759 0.07394  0.605923 0.026186 0.912356  ""           ""           ""       ""       ""       ""       ""        18.44490162776  0.47462373175  0.18118405310374308 
  STRIPE82-0034 SPLUS.STRIPE82-0034.0000028332.griz 23.16289  0.79916  2321.437 6149.767 21      41.86  0         2.48 0.83   16.69 1.68 1.5  89.88  1.214    1.57     12        12         12        19.28      0.04        29.0           18.82       0.04         25.9            19.07      0.04        29.5           19.32     0.05       20.8          18.97      0.07        16.6           19.21     0.06       19.4          19.37     0.08       13.4          19.15      0.12        9.2            19.21     0.08       12.8          19.15     0.06       18.9          18.88      0.08        13.9           19.09     0.06       16.9          19.28     0.06       18.1          19.03      0.08        13.1           19.22     0.07       16.2          19.41  0.02    44.3       19.18   0.03     34.0        19.33  0.03    41.4       19.43     0.06       18.1          19.09      0.08        14.0           19.31     0.06       16.9          19.82  0.04    28.9       19.52   0.05     21.8        19.69  0.04    27.2       20.04     0.05       20.2          19.84      0.08        13.4           19.95     0.06       18.1          20.06  0.06    17.5       19.83   0.09     11.5        19.97  0.07    15.5       20.41     0.2        5.4           20.41      0.39        2.8            20.3      0.22       4.9           20.25  0.14    8.0        20.06   0.22     5.0         20.19  0.16    6.9        15645  *  WDJ013239.10+004757.07 "Gaia DR2 2558193056775957248" 2558193056775957248 23.16292910833  0.594076252465483  0.79919232055  0.376886116674974  0.7397 0.7181 5.671   0.791  1.19    0.658  1.367 0.76080775 315.112963016263 1.41342956970711 19.4422   261.394441693616 11.3609427084224 19.308147 88.059698845165  9.26902672370006 19.899977 1.109    144.1355561653 -60.3647757907 2304.1982 0.0564481480857223 J013239.09+004757.0 18.978 0.022  19.186  0.011  19.585 0.018  19.943 0.035  20.392 0.201  0.89466 0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        23.1629046903   0.79918719897  0.1826284355399895  
  STRIPE82-0036 SPLUS.STRIPE82-0036.0000002566.griz 23.45228  0.2805   9704.254 2754.753 18      29.17  0         2.62 0.87   16.63 1.57 1.4  45.38  1.135    1.31     12        12         12        19.06      0.05        23.2           18.41       0.06         19.6            18.52      0.04        25.1           19.21     0.07       16.6          18.46      0.07        15.2           18.68     0.06       17.7          19.18     0.12       9.4           18.72      0.17        6.5            18.84     0.13       8.5           19.05     0.13       8.4           18.44      0.17        6.4            18.68     0.14       7.6           19.21     0.08       13.0          18.52      0.1         11.1           18.72     0.08       13.3          19.31  0.04    29.3       18.69   0.05     23.6        18.93  0.04    27.4       19.31     0.09       12.5          18.92      0.13        8.1            18.95     0.09       11.5          19.66  0.05    20.1       19.23   0.08     13.1        19.29  0.06    18.2       19.76     0.07       16.4          19.4       0.11        10.2           19.45     0.08       14.2          20.13  0.11    9.8        19.52   0.15     7.3         19.73  0.12    8.9        20.29     0.28       3.9           20.21      0.62        1.8            19.81     0.29       3.8           20.21  0.18    6.1        20.84   0.75     1.4         20.25  0.29    3.7        14699  *  WDJ013348.55+001649.69 "Gaia DR2 2510029396598315904" 2510029396598315904 23.45229393262  0.622110024793371  0.28047004508  0.264679200684041  1.2074 0.5635 1.89    1.157  0.277   0.429  0.0   1.0174377  440.194336784968 2.42501251835564 19.079254 487.412193061111 54.6189665681335 18.631647 163.346729979728 7.77807703354054 19.229143 1.478    145.0382840096 -60.7596989225 2160.0212 0.0634618624653276 J013348.54+001649.6 18.473 0.019  18.749  0.009  19.244 0.013  19.602 0.021  19.95  0.1    0.9085  0     21640.785619 7293.86766   7.291594 1.054196 0.385655 0.318686 5.387232  24993.754571 9220.986754  7.408917 0.923351 0.413893 0.275295 4.819552  23.45228579509  0.28046885434  0.11891428693123557 
  STRIPE82-0043 SPLUS.STRIPE82-0043.0000014591.griz 29.91442  -0.90447 4514.622 4162.137 37      99.01  0         2.23 0.74   14.85 1.68 1.66 28.17  0.996    1.07     12        12         12        18.61      0.02        55.6           17.7        0.02         69.5            17.97      0.02        70.5           18.62     0.03       40.2          17.81      0.02        47.0           18.04     0.02       49.1          18.7      0.04       27.2          17.91      0.04        29.4           18.17     0.03       31.4          18.53     0.03       35.0          17.99      0.03        33.0           18.16     0.03       37.2          18.63     0.03       34.7          18.12      0.03        31.4           18.25     0.03       36.8          18.79  0.02    75.8       18.29   0.02     73.7        18.42  0.02    82.1       18.85     0.03       36.3          18.35      0.03        31.6           18.49     0.03       37.4          19.17  0.02    62.9       18.71   0.02     50.7        18.85  0.02    62.2       19.36     0.02       47.2          18.86      0.03        37.5           18.98     0.02       47.5          19.46  0.02    44.9       19.01   0.04     29.4        19.18  0.03    38.7       19.7      0.06       18.2          19.14      0.09        11.8           19.38     0.07       15.1          19.88  0.06    19.6       19.41   0.1      11.0        19.55  0.07    15.8       20666  *  WDJ015939.47-005415.99 "Gaia DR2 2506663585346856064" 2506663585346856064 29.91445443795  0.207522333434351  -0.90447688678 0.176587188426207  1.2598 0.2606 -4.853  0.379  -8.2    0.325  0.0   0.3594847  711.247412269748 2.38826666410531 18.558313 660.745548408417 13.9485977009732 18.301302 216.269670693301 7.09131686217215 18.92443  1.233    157.7387311914 -59.0862540595 2196.282  0.0540922735472334 J015939.47-005415.9 17.866 0.011  18.259  0.007  18.768 0.01   19.117 0.015  19.506 0.06   0.9814  0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        29.9144753334   -0.90444158203 0.12639745180380307 
  STRIPE82-0048 SPLUS.STRIPE82-0048.0000012148.griz 31.91711  0.59169  9960.007 4791.83  12      25.37  0         2.09 0.7    16.16 1.49 1.36 70.94  0.935    1.0      12        12         12        20.36      0.09        12.2           19.31       0.09         12.5            19.62      0.08        13.2           20.71     0.13       8.1           19.57      0.12        8.8            19.77     0.11       10.2          20.34     0.14       7.9           19.61      0.18        6.1            19.74     0.14       7.6           20.49     0.16       6.9           19.83      0.23        4.8            19.9      0.17       6.3           20.74     0.19       5.9           19.56      0.17        6.3            19.84     0.16       7.0           20.48  0.06    19.6       19.65   0.07     16.5        19.88  0.06    18.7       20.44     0.11       9.5           19.71      0.15        7.1            19.95     0.13       8.1           20.52  0.05    21.2       19.99   0.08     13.5        20.06  0.06    17.8       20.6      0.06       17.5          19.82      0.08        14.0           20.07     0.07       15.7          20.86  0.08    14.0       20.4    0.14     8.0         20.4   0.1     11.4       20.62     0.13       8.2           19.91      0.19        5.8            19.95     0.14       7.9           20.95  0.14    7.8        20.85   0.36     3.0         20.82  0.24    4.5        37665  " " WDJ020740.12+003530.33 "Gaia DR2 2507329408357383168" 2507329408357383168 31.91712835885  0.573593531940674  0.59165776327  0.514871147268426  2.2192 0.6754 -7.999  1.237  -23.354 1.231  1.445 1.2565995  213.539977261362 1.22629200590658 19.864668 184.008913368266 10.4453418363795 19.689291 65.9809087637872 12.0632409623993 20.213375 1.171    159.4992851647 -56.7676357051 2628.1372 0.0597214004333751 J020740.11+003530.3 19.679 0.038  19.706  0.016  19.96  0.026  20.197 0.046  20.498 0.182  0.99782 0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        31.91716280098  0.5917583161   0.1335628064062765  
  STRIPE82-0048 SPLUS.STRIPE82-0048.0000021068.griz 32.92838  1.07959  3341.118 7985.275 24      51.11  0         2.66 0.89   15.7  1.73 1.58 -22.63 1.281    1.34     12        12         12        18.81      0.04        29.2           18.14       0.04         29.9            18.54      0.04        30.8           18.87     0.04       24.6          18.29      0.05        23.1           18.63     0.04       25.2          18.98     0.07       16.6          18.5       0.08        14.1           18.72     0.06       17.2          18.97     0.07       16.7          18.42      0.07        14.6           18.74     0.06       16.7          18.97     0.06       17.5          18.33      0.07        16.4           18.74     0.06       17.5          19.16  0.03    40.3       18.76   0.03     31.5        18.99  0.03    38.9       19.17     0.06       18.9          18.75      0.07        14.7           19.0      0.06       18.1          19.48  0.03    35.1       19.19   0.04     24.3        19.32  0.03    33.1       19.65     0.04       27.1          19.3       0.06        19.5           19.56     0.05       24.1          19.92  0.05    21.5       19.68   0.08     13.5        19.8   0.06    19.2       20.04     0.12       9.2           20.37      0.33        3.3            20.1      0.16       6.9           20.13  0.1     10.6       19.95   0.18     6.0         20.01  0.12    9.3        12809  *  WDJ021142.81+010446.43 "Gaia DR2 2513322846239923072" 2513322846239923072 32.92839488258  0.397641816110489  1.07958051051  0.303724603957187  1.6814 0.4697 8.742   0.673  3.933   0.599  1.223 0.61259055 422.973086685734 2.3131479735506  19.122583 407.232914936454 9.03018854625043 18.82678  143.424825218381 8.53681918004984 19.37036  1.302    160.5643601123 -55.8130807331 2448.4385 0.064088141528431  J021142.80+010446.4 18.397 0.022  18.758  0.011  19.284 0.02   19.663 0.037  20.153 0.179  0.99262 0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        32.92835723552  1.07956357491  0.06346232896108961 
  STRIPE82-0064 SPLUS.STRIPE82-0064.0000025232.griz 43.51565  0.9817   8258.159 7344.543 66      187.59 0         2.33 0.78   13.96 1.89 1.79 -60.27 1.144    1.1      11        11         11        16.98      0.02        151.4          16.45       0.02         169.6           16.73      0.02        165.8          -99.0     0.0        -1.0          -99.0      0.0         -1.0           -99.0     0.0        -1.0          17.35     0.02       50.8          16.81      0.02        54.0           17.06     0.02       56.2          17.36     0.02       57.9          16.86      0.02        60.4           17.09     0.02       63.2          17.38     0.02       62.5          17.01      0.02        60.4           17.19     0.02       65.3          17.59  0.02    132.0      17.26   0.02     131.2       17.41  0.02    138.3      17.59     0.02       66.9          17.29      0.02        60.6           17.45     0.02       67.7          18.01  0.02    112.8      17.68   0.02     97.1        17.83  0.02    114.6      18.26     0.02       81.8          17.82      0.02        73.8           18.03     0.02       84.6          18.41  0.02    78.8       18.11   0.02     53.7        18.24  0.02    74.1       18.56     0.03       36.5          18.34      0.05        20.5           18.43     0.03       31.9          18.74  0.03    39.8       18.41   0.05     23.2        18.57  0.03    35.0       27702  *  WDJ025403.75+005854.22 "Gaia DR2 2498367529597482496" 2498367529597482496 43.51566373989  0.139551370427761  0.98170335048  0.136063704072912  1.416  0.2044 7.177   0.236  -5.87   0.222  0.449 0.22622567 2065.16866918328 17.7202053761412 17.400976 1926.46196332073 82.401653777279  17.139486 696.82490416295  23.8226660525666 17.65411  1.27     174.2996018933 -49.2601608606 3312.425  0.195428494276179  J025403.75+005854.2 16.619 0.006  17.066  0.004  17.587 0.006  17.955 0.009  18.252 0.034  0.91057 0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        43.51563283565  0.98172862592  0.0509032614401238  
  STRIPE82-0111 SPLUS.STRIPE82-0111.0000014951.griz 317.85611 -1.07069 3041.111 3073.97  18      38.96  0         2.08 0.69   15.79 1.56 1.4  -36.12 0.99     1.04     12        12         12        20.01      0.04        26.4           19.28       0.04         25.2            19.47      0.04        28.4           20.01     0.06       19.2          19.44      0.07        16.0           19.6      0.06       18.6          20.21     0.09       11.8          19.91      0.15        7.2            20.0      0.12       9.3           19.88     0.07       15.9          19.42      0.09        11.7           19.62     0.08       13.6          19.89     0.07       16.4          19.31      0.08        13.2           19.47     0.07       15.7          19.93  0.03    39.9       19.46   0.03     32.6        19.58  0.03    38.3       19.72     0.05       22.0          19.43      0.07        14.7           19.47     0.06       19.0          20.25  0.03    31.8       19.81   0.05     21.8        19.92  0.04    27.5       20.53     0.05       21.9          20.14      0.08        13.7           20.2      0.06       18.3          20.44  0.05    20.8       20.04   0.09     12.0        20.27  0.08    14.3       20.97     0.17       6.4           20.59      0.32        3.4            20.67     0.23       4.7           20.74  0.12    8.8        20.04   0.18     6.1         20.3   0.15    7.2        4694   *  WDJ211125.45-010414.61 "Gaia DR2 2689074488540964224" 2689074488540964224 317.85607448271 0.484110385547277  -1.07072026555 0.403244357503749  1.9996 0.5323 9.124   0.831  1.002   0.739  0.0   0.80837    257.329108115836 1.57678619621102 19.662144 254.692609357821 37.9198532224547 19.336348 82.2565915931358 8.99125492189048 19.973993 1.309    49.5753118122  -31.2561138899 12602.257 0.186024684874946  J211125.45-010414.6 19.474 0.026  19.436  0.012  19.812 0.017  20.086 0.028  20.51  0.14   0.99757 0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        317.85603519112 -1.07072457975 0.16788795915415805 
  STRIPE82-0115 SPLUS.STRIPE82-0115.0000040262.griz 320.56867 -0.30706 3839.842 8072.49  14      21.47  0         2.92 0.97   17.36 1.58 1.37 13.24  0.939    1.0      12        12         12        20.45      0.07        15.0           19.02       0.05         19.9            19.32      0.05        21.0           20.47     0.09       11.6          19.28      0.09        12.6           19.47     0.07       14.6          20.37     0.13       8.5           19.35      0.14        7.7            19.67     0.13       8.2           20.49     0.12       9.1           19.41      0.12        8.7            19.66     0.11       9.8           20.26     0.09       11.8          19.42      0.11        9.5            19.61     0.1        11.2          20.62  0.05    23.3       19.54   0.04     24.6        19.78  0.04    27.1       20.55     0.1        10.4          19.94      0.16        6.6            19.88     0.11       9.8           20.89  0.07    16.3       20.04   0.09     12.4        20.15  0.07    15.9       21.08     0.1        11.2          20.46      0.16        6.9            20.54     0.12       9.1           20.97  0.12    8.8        20.24   0.19     5.7         20.36  0.15    7.3        21.38     0.36       3.0           21.04      0.82        1.3            20.79     0.45       2.4           21.74  0.39    2.8        20.67   0.46     2.4         20.91  0.39    2.8        117674 " " WDJ212216.47-001825.46 "Gaia DR2 2686382609198795648" 2686382609198795648 320.56864164031 0.68774415271526   -0.30707739981 0.584561147330862  1.6548 0.9564 6.6     1.389  -1.084  1.076  0.0   1.3158917  195.206335689947 1.5147579426348  19.962132 193.991935058799 11.1816882350042 19.63193  63.4302139778089 10.1622753723834 20.25618  1.319    52.0437081577  -33.1477822752 11916.117 0.113551292198088  J212216.46-001825.4 19.353 0.027  19.657  0.014  20.107 0.026  20.359 0.051  20.728 0.257  0.99464 0     ""           ""           ""       ""       ""       ""       ""        ""           ""           ""       ""       ""       ""       ""        320.56861322174 -0.30707273456 0.11977174303196426 
  STRIPE82-0117 SPLUS.STRIPE82-0117.0000024245.griz 321.55659 -0.73242 6650.371 5288.304 16      29.2   0         2.51 0.84   17.09 1.61 1.46 56.59  0.946    1.0      12        12         12        20.7       0.08        12.9           20.27       0.15         7.2             20.28      0.1         10.6           20.91     0.14       7.8           19.76      0.14        7.9            20.14     0.13       8.4           21.18     0.26       4.3           20.32      0.34        3.2            20.4      0.24       4.5           20.45     0.12       9.3           19.76      0.17        6.4            20.06     0.15       7.2           20.52     0.11       9.5           19.78      0.16        6.9            19.95     0.12       8.7           20.48  0.04    26.4       19.69   0.05     22.1        19.89  0.04    26.4       20.43     0.1        11.4          19.82      0.15        7.4            19.89     0.11       10.3          20.72  0.06    18.6       20.0    0.08     13.4        20.15  0.06    17.3       20.84     0.07       15.4          20.3       0.12        9.4            20.38     0.08       13.0          20.79  0.07    14.9       20.56   0.17     6.5         20.47  0.1     10.7       20.86     0.18       5.9           20.05      0.26        4.2            20.49     0.25       4.3           21.24  0.18    5.9        20.43   0.26     4.2         20.82  0.24    4.5        118064 " " WDJ212613.58-004356.69 "Gaia DR2 2687599390612359808" 2687599390612359808 321.55657839279 0.555545471894464  -0.73245771991 0.542904082290013  2.8325 0.6904 -1.93   1.075  -10.386 1.04   0.0   0.98444426 192.356838109171 1.35473905432395 19.978096 143.162827365672 7.70938736576808 19.961813 49.3861486854235 8.26489905673416 20.527906 1.001    52.2574524446  -34.2085587845 10548.907 0.112864302441774  J212613.58-004356.7 20.11  0.046  19.791  0.014  20.084 0.023  20.331 0.041  20.328 0.133  0.99829 0     19741.913156 7204.72535   8.786067 0.651785 1.099438 0.319157 10.019652 20852.932462 12316.492402 8.914761 1.282555 1.150776 1.143928 12.240963 321.55658670292 -0.73241300127 0.14198070821152922 
  STRIPE82-0119 SPLUS.STRIPE82-0119.0000004222.griz 322.99541 -1.30084 6509.587 1567.564 87      229.26 0         3.69 1.23   14.8  2.31 2.03 -57.17 1.534    1.21     12        12         12        17.25      0.02        154.4          16.64       0.02         173.8           17.09      0.02        164.2          17.31     0.02       112.9         16.8       0.02        119.0          17.17     0.02       118.6         17.41     0.02       68.7          16.85      0.02        70.6           17.26     0.02       72.3          17.41     0.02       80.8          16.83      0.02        84.2           17.25     0.02       85.5          17.49     0.02       82.7          16.95      0.02        83.8           17.34     0.02       87.2          17.68  0.02    173.2      17.16   0.02     181.7       17.53  0.02    183.3      17.72     0.02       84.5          17.19      0.02        81.2           17.58     0.02       88.4          18.03  0.02    159.8      17.7    0.02     127.3       17.93  0.02    161.8      18.19     0.02       119.1         17.82      0.02        93.3           18.08     0.02       120.3         18.39  0.02    100.9      18.1    0.02     62.5        18.3   0.02    98.1       18.62     0.03       41.2          18.34      0.05        23.4           18.53     0.03       39.4          18.72  0.02    46.2       18.44   0.04     25.3        18.65  0.03    43.1       118563 " " WDJ213158.89-011802.90 "Gaia DR2 2686720301001913600" 2686720301001913600 322.99539674475 0.141128837105838  -1.30084264258 0.183980470502214  1.8014 0.1438 7.607   0.254  -8.537  0.311  0.0   0.36065233 1690.28454394383 3.92999147043822 17.618465 1533.59870224216 25.057882801601  17.38711  560.609830390346 10.4636589508807 17.890268 1.239    52.6307160934  -35.724817146  9038.154  0.122539379588592  J213158.89-011802.9 17.003 0.008  17.346  0.005  17.832 0.006  18.162 0.009  18.448 0.029  0.97967 0     45476.915013 17852.858873 7.729389 0.374155 0.561973 0.165338 1.869741  ""           ""           ""       ""       ""       ""       ""        322.99536398256 -1.3008058859  0.048631733841326956
